# idx case decode msg msg_out
0000 all_zero PASS 000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000
0001 all_one PASS ffffffffffffffffffffffffffffffffffffffffffffffff ffffffffffffffffffffffffffffffffffffffffffffffff
0002 repeat_aa PASS aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
0003 repeat_55 PASS 555555555555555555555555555555555555555555555555 555555555555555555555555555555555555555555555555
0004 repeat_33 PASS 333333333333333333333333333333333333333333333333 333333333333333333333333333333333333333333333333
0005 repeat_cc PASS cccccccccccccccccccccccccccccccccccccccccccccccc cccccccccccccccccccccccccccccccccccccccccccccccc
0006 repeat_0f PASS 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f
0007 repeat_f0 PASS f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0 f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0
0008 ascending_bytes PASS 000102030405060708090a0b0c0d0e0f1011121314151617 000102030405060708090a0b0c0d0e0f1011121314151617
0009 descending_bytes PASS fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0efeeedecebeae9e8 fffefdfcfbfaf9f8f7f6f5f4f3f2f1f0efeeedecebeae9e8
0010 odd_stride_bytes PASS 13385d82a7ccf1163b6085aacff4193e6388add2f71c4166 13385d82a7ccf1163b6085aacff4193e6388add2f71c4166
0011 magic_prefix PASS 0123456789abcdeffedcba9876543210deadbeefcafebabe 0123456789abcdeffedcba9876543210deadbeefcafebabe
0012 magic_suffix PASS fedcba9876543210deadbeefcafebabe5a5aa5a53cc3c33c fedcba9876543210deadbeefcafebabe5a5aa5a53cc3c33c
0013 low_half_one PASS 000000000000000000000000ffffffffffffffffffffffff 000000000000000000000000ffffffffffffffffffffffff
0014 high_half_one PASS ffffffffffffffffffffffff000000000000000000000000 ffffffffffffffffffffffff000000000000000000000000
0015 byte_00_ff PASS ff0000000000000000000000000000000000000000000000 ff0000000000000000000000000000000000000000000000
0016 byte_01_ff PASS 00ff00000000000000000000000000000000000000000000 00ff00000000000000000000000000000000000000000000
0017 byte_02_ff PASS 0000ff000000000000000000000000000000000000000000 0000ff000000000000000000000000000000000000000000
0018 byte_03_ff PASS 000000ff0000000000000000000000000000000000000000 000000ff0000000000000000000000000000000000000000
0019 byte_04_ff PASS 00000000ff00000000000000000000000000000000000000 00000000ff00000000000000000000000000000000000000
0020 byte_05_ff PASS 0000000000ff000000000000000000000000000000000000 0000000000ff000000000000000000000000000000000000
0021 byte_06_ff PASS 000000000000ff0000000000000000000000000000000000 000000000000ff0000000000000000000000000000000000
